Date,Open,High,Low,Close,Volume
24-Nov-15,4.35,4.60,4.34,4.53,11497568
23-Nov-15,4.27,4.36,4.26,4.30,9695474
20-Nov-15,4.22,4.37,4.19,4.31,7459800
19-Nov-15,4.22,4.26,4.07,4.20,7637755
18-Nov-15,4.15,4.24,4.09,4.23,10885935
17-Nov-15,4.06,4.13,4.02,4.07,14906349
16-Nov-15,3.83,4.13,3.82,4.10,13818189
13-Nov-15,3.96,3.98,3.75,3.76,19656612
12-Nov-15,3.95,4.07,3.92,3.98,14849475
11-Nov-15,4.16,4.18,4.02,4.07,10668726
10-Nov-15,3.99,4.12,3.93,4.08,9651474
9-Nov-15,4.06,4.14,3.96,4.00,9776405
6-Nov-15,4.10,4.16,4.00,4.12,14076144
5-Nov-15,4.20,4.32,4.13,4.20,40532280
4-Nov-15,4.46,4.51,4.22,4.26,12389941
3-Nov-15,4.14,4.54,4.12,4.50,16297921
2-Nov-15,4.00,4.13,3.92,4.12,4258907
30-Oct-15,3.99,4.03,3.88,3.99,8278214
29-Oct-15,3.88,4.04,3.88,3.93,10555344
28-Oct-15,3.92,4.10,3.87,3.91,9970691
27-Oct-15,3.92,3.94,3.84,3.86,7660544
26-Oct-15,4.14,4.14,3.99,4.03,5911886
23-Oct-15,4.13,4.21,4.07,4.12,9861787
22-Oct-15,4.06,4.14,4.03,4.12,6845156
21-Oct-15,4.02,4.03,3.90,3.90,8556719
20-Oct-15,4.16,4.23,4.07,4.09,9762845
19-Oct-15,4.03,4.12,3.96,4.10,6967292
16-Oct-15,4.21,4.23,4.05,4.14,6941515
15-Oct-15,4.12,4.22,3.99,4.22,11990930
14-Oct-15,4.18,4.25,4.10,4.21,12227198
13-Oct-15,4.34,4.42,4.15,4.16,16330184
12-Oct-15,4.63,4.66,4.40,4.50,11982632
9-Oct-15,4.74,4.77,4.56,4.68,22140759
8-Oct-15,4.30,4.64,4.28,4.63,13959448
7-Oct-15,4.53,4.69,4.26,4.38,21761803
6-Oct-15,4.11,4.34,4.08,4.25,16050927
5-Oct-15,4.01,4.13,3.95,4.02,21537772
2-Oct-15,3.47,3.97,3.44,3.94,17540443
1-Oct-15,3.70,3.77,3.48,3.52,13524191
30-Sep-15,3.59,3.68,3.48,3.68,23334907
29-Sep-15,3.17,3.32,3.15,3.26,10824553
28-Sep-15,3.33,3.34,3.13,3.13,6641122
25-Sep-15,3.57,3.58,3.41,3.43,11878050
24-Sep-15,3.16,3.51,3.12,3.47,15079039
23-Sep-15,3.47,3.51,3.25,3.30,14803470
22-Sep-15,3.49,3.53,3.37,3.43,10038539
21-Sep-15,3.84,3.86,3.67,3.68,7097281
18-Sep-15,3.99,4.01,3.80,3.80,16312307
17-Sep-15,4.12,4.24,4.04,4.08,13861280
16-Sep-15,4.08,4.31,4.07,4.27,13852806
15-Sep-15,3.93,4.07,3.93,3.97,7874307
14-Sep-15,3.97,4.08,3.84,4.05,13796324
11-Sep-15,4.07,4.08,3.91,3.96,13081066
10-Sep-15,4.18,4.25,4.08,4.11,18785063
9-Sep-15,4.65,4.73,4.40,4.41,11210714
8-Sep-15,4.59,4.63,4.50,4.53,9687467
4-Sep-15,4.59,4.64,4.41,4.41,11313876
3-Sep-15,4.67,4.87,4.52,4.67,16648346
2-Sep-15,4.72,4.76,4.44,4.69,15468157
1-Sep-15,4.83,4.96,4.63,4.67,13337926
31-Aug-15,4.71,5.13,4.65,5.04,21313787
28-Aug-15,4.93,5.29,4.92,5.03,17213245
27-Aug-15,4.68,5.05,4.67,5.04,18575201
26-Aug-15,4.42,4.51,4.31,4.48,15902809
25-Aug-15,4.61,4.67,4.39,4.39,7276961
24-Aug-15,4.28,4.61,4.22,4.36,15519941
21-Aug-15,4.89,4.91,4.75,4.76,14681218
20-Aug-15,5.01,5.16,4.96,5.03,11540570
19-Aug-15,5.14,5.23,4.92,5.04,9975393
18-Aug-15,5.18,5.31,5.06,5.21,8031569
17-Aug-15,5.34,5.39,5.24,5.26,11457636
14-Aug-15,5.45,5.55,5.35,5.35,12367405
13-Aug-15,5.67,5.67,5.42,5.43,14102098
12-Aug-15,5.66,5.74,5.58,5.70,16600518
11-Aug-15,5.58,5.62,5.40,5.59,11919835
10-Aug-15,5.57,5.82,5.46,5.80,18280958
7-Aug-15,5.81,5.85,5.52,5.52,16239786
6-Aug-15,5.63,5.90,5.57,5.85,16033015
5-Aug-15,5.97,6.07,5.74,5.75,9808636
4-Aug-15,5.84,6.03,5.80,5.89,8078109
3-Aug-15,5.97,6.00,5.76,5.80,10201468
31-Jul-15,6.25,6.34,6.08,6.15,10800268
30-Jul-15,6.50,6.50,6.08,6.22,15758186
29-Jul-15,5.99,6.46,5.93,6.40,25261177
28-Jul-15,5.77,6.03,5.70,5.95,22813196
27-Jul-15,5.90,5.96,5.66,5.68,18332278
24-Jul-15,6.07,6.08,5.84,6.04,11391170
23-Jul-15,6.23,6.46,6.15,6.21,16891148
22-Jul-15,6.67,6.70,6.38,6.39,12492263
21-Jul-15,6.70,7.05,6.69,6.81,9258221
20-Jul-15,7.11,7.11,6.73,6.79,13550789
17-Jul-15,7.52,7.52,7.14,7.18,15437085
16-Jul-15,7.60,7.66,7.50,7.56,7992719
15-Jul-15,7.57,7.64,7.48,7.53,16746076
14-Jul-15,7.42,7.72,7.40,7.64,6270744
13-Jul-15,7.39,7.57,7.33,7.56,11448144
10-Jul-15,7.47,7.52,7.36,7.46,8290951
9-Jul-15,7.31,7.52,7.24,7.34,8323067
8-Jul-15,7.19,7.41,7.03,7.17,9600482
